Subject_id,I1_duration,I2_direction,Response_result
3,2500,-1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,0
3,2500,-1,1
3,2500,-1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,0
3,3000,-1,1
3,3000,1,1
3,3000,1,1
3,3000,-1,1
3,3000,-1,1
3,3000,1,1
3,3000,-1,0
3,3000,-1,0
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,1,0
3,3000,1,1
3,3000,-1,1
3,3000,-1,1
3,3000,1,0
3,3000,-1,1
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,-1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,-1,1
3,3000,-1,1
3,3000,-1,1
3,3000,-1,1
3,3000,-1,1
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,-1,1
3,3000,-1,0
3,3000,-1,1
3,3000,-1,0
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,1,1
3,3000,-1,0
3,3000,1,1
3,3000,-1,1
3,3000,-1,0
3,3000,-1,1
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,1
3,3000,-1,1
3,3000,-1,1
3,3000,-1,1
3,3000,1,1
3,3000,1,0
3,3000,1,1
3,3000,-1,1
3,3000,1,1
3,3000,-1,1
4,1000,1,0
4,1000,1,1
4,1000,-1,1
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,1,0
4,1000,-1,1
4,1000,1,1
4,1000,-1,1
4,1000,1,0
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,-1,0
4,1000,-1,1
4,1000,-1,1
4,1000,1,1
4,1000,1,0
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,1
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,1,0
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,0
4,1000,-1,1
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,1,0
4,1000,1,0
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,1,1
4,1000,1,1
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,0
4,1000,-1,1
4,1000,1,1
4,1000,-1,1
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,1
4,1000,1,1
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,1,1
4,1000,-1,1
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,1,0
4,1000,-1,1
4,1000,1,1
4,1000,-1,0
4,1000,1,1
4,1000,1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,1
4,1000,-1,1
4,1000,1,1
4,1000,1,1
4,1500,-1,0
4,1500,1,1
4,1500,-1,1
4,1500,1,0
4,1500,1,1
4,1500,1,1
4,1500,1,0
4,1500,-1,1
4,1500,1,1
4,1500,1,1
4,1500,1,1
4,1500,-1,1
4,1500,1,1
4,1500,1,0
4,1500,-1,0
4,1500,-1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,0
4,1500,-1,1
4,1500,1,1
4,1500,-1,1
4,1500,1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,-1,0
4,1500,1,1
4,1500,-1,1
4,1500,1,1
4,1500,1,1
4,1500,1,0
4,1500,-1,0
4,1500,1,1
4,1500,1,0
4,1500,-1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,-1,1
4,1500,1,1
4,1500,1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,0
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,-1,1
4,1500,1,0
4,1500,1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,-1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,1,0
4,1500,-1,1
4,1500,-1,0
4,1500,1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,-1,1
4,1500,1,0
4,1500,-1,1
4,1500,-1,1
4,1500,-1,1
4,1500,1,1
4,1500,1,1
4,1500,-1,1
4,2000,-1,1
4,2000,1,1
4,2000,-1,1
4,2000,1,1
4,2000,1,1
4,2000,-1,1
4,2000,1,1
4,2000,1,1
4,2000,1,1
4,2000,-1,1
4,2000,-1,1
4,2000,1,0
4,2000,1,1
4,2000,1,1
4,2000,1,1
4,2000,1,1
4,2000,1,1
4,2000,-1,1
4,2000,1,1
4,2000,-1,1
4,2000,1,1
4,2000,1,0
4,2000,-1,1
4,2000,1,1
4,2000,1,1
4,2000,1,0
4,2000,1,0
4,2000,1,0
4,2000,-1,1
4,2000,-1,0
4,2000,-1,1
4,2000,1,1
4,2000,-1,1
4,2000,1,1
4,2000,-1,1
4,2000,-1,1
4,2000,-1,1
4,2000,1,1
4,2000,-1,0
4,2000,1,1
4,2000,-1,1
4,2000,1,1
4,2000,1,1
4,2000,-1,1
4,2000,-1,1
4,2000,1,1
4,2000,-1,1
4,2000,-1,1
4,2000,-1,1
4,2000,1,1
4,2000,1,1
4,2000,-1,1
4,2000,-1,1
4,2000,1,1
4,2000,1,1
4,2000,1,1
4,2000,-1,1
4,2000,-1,1
4,2000,1,1
